Temperature density viscosity   Re
0.4768511551    0.1 0.1195793707    0.8362646449
0.6862466636    0.1 0.1557963186    0.6418636904
0.6835275612    0.1 0.1503512227    0.6651093232
0.8962922347    0.1 0.1711309723    0.5843477581
0.8875400318    0.1 0.1797647471    0.556282595
1.0977156017    0.1 0.2194866338    0.4556086093
1.0842618724    0.1 0.2118078457    0.4721260426
1.3039400952    0.1 0.2258124991    0.4428452827
1.4722803113    0.1 0.2102951198    0.4755222095
1.7143339568    0.1 0.2556292489    0.3911915418
1.8786324418    0.1 0.2881920664    0.346990815
2.1171234325    0.1 0.288614917 0.3464824377
2.474296047 0.1 0.3556052745    0.2812106771
2.7155706258    0.1 0.3652613255    0.2737765896
2.8725216401    0.1 0.3450216976    0.2898368441
3.087500828 0.1 0.3696399501    0.2705335285
3.2467919138    0.1 0.4099263418    0.243946265
3.5126140417    0.1 0.4039894518    0.2475312154
3.6746383588    0.1 0.4359948386    0.2293605133
3.9241294525    0.1 0.4688196806    0.2133016256
4.0642940039    0.1 0.8218890744    0.1216709202
4.3101263252    0.1 0.4730386706    0.2113992073
0.4605025996    0.2 0.1500264038    1.3330986744
0.6364456461    0.2 0.1807599985    1.1064394869
0.6660899423    0.2 0.1806916779    1.1068578386
0.8479040169    0.2 0.2054969896    0.9732502668
0.8627128959    0.2 0.2080726618    0.9612026793
1.053426703 0.2 0.235287104 0.8500253374
1.0584321167    0.2 0.2297819188    0.8703905033
1.2482961563    0.2 0.2520852217    0.7933824865
1.4436921379    0.2 0.2598153995    0.7697773126
1.6652248461    0.2 0.2958005314    0.6761313073
1.8649996135    0.2 0.3126050265    0.639784978
2.0625894427    0.2 0.3335748629    0.5995655615
2.4748736186    0.2 0.347168713 0.5760887791
2.6450491585    0.2 0.3886194326    0.5146423035
2.8480428938    0.2 0.4304897133    0.4645871755
3.059899418 0.2 0.3999354596    0.5000806885
3.2457506535    0.2 0.394641974 0.5067884645
3.4461085798    0.2 0.4358710381    0.4588513173
3.6648542947    0.2 0.4160092125    0.4807585842
3.8379873158    0.2 0.4604823118    0.4343272149
4.031494708 0.2 0.4472074163    0.4472197748
4.2274049154    0.2 0.4699692373    0.4255597688
0.4570209457    0.3 0.1977385562    1.5171548016
0.6116141858    0.3 0.2273692664    1.3194395389
